अ a
अँकटी aMkटI
अँकड़ा aMkDA
अँकड़ी aMkDI
अँकरा aMkrA
अँकरास aMkrAs
अँकरी aMkrI
अँकवाई aMkwAI
अँकवाना aMkwAnA
अँकवार aMkwAr
अँकवारना aMkwArnA
अँकवारि aMkwAri
अँकाना aMkAnA
अँकाव aMkAwa
अँकित aMkit
अँकुड़ा aMkuDA
अँकुरना aMkurnA
अँकुराना aMkurAnA
अँकुरी aMkurI
अँकुसी aMkusI
अँकूर aMkUr
अँकोर aMkor
अँकोरना aMkornA
अँकोड़ा aMkoDA
अँखड़ी aMखDI
अँखमिचनी aMखmicnI
अँखाना aMखAnA
अँखिगर aMखigar
अँखिया aMखiyA
अँखुआ aMखuA
अँखुआना aMखuAnA
अँखौड़ा aMखऔDA
अँग aMg
अँगऊँ aMgaUM
अँगक aMgak
अँगड़ाई aMgDAI
अँगड़ाना aMgDAnA
अँगना aMgnA
अँगनाई aMgnAI
अँगनैत aMgnऐt
अँगनैया aMgnऐyA
अँगरखा aMgarखA
अँगराना aMgrAnA
अँगरी aMgrI
अँगरेज aMgrEj
अँगरेजियत aMgrEjiyat
अँगरेजी aMgrEjI
अँगरो aMgro
अँगवना aMgawnA
अँगवनिहारा aMgwanihArA
अँगवाना aMgwAnA
अँगवारा aMgwArA
अँगाना aMgAnA
अँगारा aMgArA
अँगिया aMgiyA
अँगिराना aMgirAnA
अँगीकार aMgIkAr
अँगीठ aMgIठ
अँगीठा aMgIठA
अँगीठी aMgIठI
अँगुठी aMguठI
अँगुरि aMguri
अँगुरिया aMguriyA
अँगुरी aMgurI
अँगुली aMgulI
अँगुसाना aMgusAnA
अँगूठना aMgUठnA
अँगूठा aMgUठA
अँगूठी aMgUठI
अँगूठे aMgUठE
अँगूर aMgUr
अँगूरिया aMgUriyA
अँगूसी aMgUsI
अँगेजना aMgEjnA
अँगेट aMgEट
अँगेठा aMgEठA
अँगेरना aMgErnA
अँगोछना aMgoCnA
अँगोछा aMgoCA
अँगोजना aMgojnA
अँगोट aMgoट
अँगोरा aMgorA
अँगोरी aMgorI
अँगौंगा aMgऔqgA
अँगौड़ा aMgऔDA
अँगौरिया aMgऔriyA
अँग्रेज aMgrEj
अँग्रेजी aMgrEjI
अँग्रेज़ी aMgrEzI
अँघराई aMघrAI
अँघस् aMघas
अँघ्रि aMघri
अँचला aMclA
