अगर agar
अगला aglA
अगली aglI
अच्छा acCA
अच्छी acCI
अजीब ajIb
अठारह aठArah
अधिक aधik
अधिकांश aधikAqश
अनिवार्य aniwAry
अनुभव anuBaw
अनौपचारिक anऔpcArik
अन्य any
अपडेट apडEट
अपना apnA
अपने apnE
अपर apar
अपेक्षित apEkषit
अब ab
अभी aBI
अर्थ arथ
अलग alag
अलावा alAwA
अवलोकन awalokan
असीम asIm
अंत aqt
अंतर aqtar
अंतिम aqtim
आइए AiE
आइटम Aiटam
आई AI
आउट Auट
आउटपुट Auटpuट
आएगा AEgA
आएंगे AEqgE
आओ Ao
आगे AgE
आज Aj
आठ Aठ
आता AtA
आती AtI
आते AtE
आधार AधAr
आप Ap
आपका ApkA
आपके ApkE
आपको Apko
आम Am
आमतौर Amtऔr
आर्डर Arडar
आवश्यक Awaशyak
आवश्यकता AwaशyaktA
आसपास AsapAs
आसान AsAn
इक्कीस ikkIs
इतना itnA
इतने itnE
इन in
इनमे inmE
इनमें inmEq
इनसे insE
इन्हें inhEq
इस is
इसका isakA
इसके isakE
इसमें isamEq
इसलिए isaliE
इसी isI
इसे isE
इस्तेमाल istEmAl
इंग्लिश iqgliश
इंटरमीडिएट iqटramIडiEट
उच्च ucc
उठाए uठAE
उड़ान uDAn
उड़ानों uDAnoq
उत्पादन utpAdan
उदाहरण udAhraण
उन un
उनका unkA
उनकी unkI
उनके unkE
उन्हें unhEq
उपयोग upyog
उम्मीद ummId
उस us
उससे usasE
उसी usI
उसे usE
ऊपर Upar
ए E
एक Ek
एक्स Eks
एन En
एफ EP
एम Em
एसएमएस EsEmEs
एंड Eqड
ऐड ऐड
ऐसा ऐsA
ऐसी ऐsI
ऐसे ऐsE
ऑपरेशन ऑprEशan
ऑफ़ ऑf
ओपन opan
ओर or
औपचारिक औpcArik
और औr
कई kaI
कदमों kadmoq
कभी kaBI
कम kam
कमरे kamrE
कमोबेश kamobEश
कम्प्यूटर्स kampyUटars
कर kar
करके karkE
करता kartA
करती kartI
करते kartE
करना karnA
करनी karnI
करने karnE
करे karE
करेगा karEgA
करें karEq
करेंगे karEqgE
कलेक्शन kalEkशan
कल्पना kalpanA
कह kah
कहता kahtA
कहते kahtE
कहना kahnA
कहा kahA
कहीं kahIq
कहेंगे kahEqgE
का kA
काउंट kAuqट
काम kAm
कारक kArak
कारण kAraण
कार्य kAry
कि ki
किए kiE
कितना kitnA
किया kiyA
किये kiyE
किसी kisI
की kI
कुछ kuC
कुर्सियाँ kursiyAM
कुर्सियों kursiyoq
कुशल kuशal
के kE
केवल kEwal
कैसे kऐsE
कॉमन kऑman
कॉमा kऑmA
कॉल kऑl
कॉलम kऑlam
को ko
कोई koI
कोड koड
कोलन kolan
कोशिश koशiश
कौन kऔn
कंडीशन kaqडIशan
कंप्यूटर kaqpyUटar
क्या kyA
क्यों kyoq
क्योंकि kyoqki
क्रम kram
क्षमता kषamtA
खाता खAtA
खाना खAnA
खाली खAlI
ख़ासियत KAsiyat
खिलाफ खilAP
खुद खud
खेल खEl
खो खo
खोजना खojnA
खोजने खojnE
खोजें खojEq
गई gI
गए gaE
गठन gaठan
गणित gaणit
गया gayA
गारंटी gAraqटI
गुच्छा gucCA
गुजरे gujrE
गुणा guणA
गुना gunA
गेम्स gEms
चतुर catur
चलते caltE
चलने calnE
चलाने calAnE
चलिए caliE
चार cAr
चाह cAh
चाहता cAhtA
चाहते cAhtE
चाहिए cAhiE
चित्रित citrit
चीजें cIjEq
चीजों cIjoq
चूंकि cUqki
चौदह cऔdah
छह Cah
छोटा CoटA
छोटे CoटE
